sample,Library-1-Pre-1,Library-1-Pre-2,Library-1-Pre-3,Library-2-Pre-2,Library-2-Pre-3,Library-3-Pre-2,Library-3-Pre-3,Library-1-Neg-1,Library-1-Neg-2,Library-1-Neg-3,Library-2-Neg-2,Library-2-Neg-3,Library-3-Neg-2,Library-3-Neg-3,Library-1-Pos-1,Library-1-Pos-2,Library-1-Pos-3,Library-2-Pos-2,Library-2-Pos-3,Library-3-Pos-1,Library-3-Pos-2,Library-3-Pos-3
Library-2-Neg-2,-0.28093949172430493,0.9133585003758137,0.9756749180725244,0.85435973407968,0.9702699175761066,0.8945894728584779,0.9567887610085871,-0.280603759412705,0.4696404112893341,0.4274851713346918,1.0,0.9924271212847082,0.7696387276165093,0.8074113123262312,-0.3891775126023643,-0.43399639109670923,-0.3953050487362414,-0.24484926073547297,-0.32131766406106776,0.8457041330372916,0.47889300277235164,-0.29110502139188893
Library-2-Neg-3,-0.2860743735119027,0.9160309366093923,0.9791177565158002,0.8596576209049839,0.9823859904800067,0.8920925296348949,0.97051296205561,-0.2789225232576856,0.48483177219926843,0.4269269296445957,0.9924271212847082,1.0,0.7808123030157439,0.8062438039138071,-0.4099388188473625,-0.46359937237906734,-0.4119407670264252,-0.25858073192589265,-0.3217434017498691,0.8576275753694805,0.4809315334150988,-0.29178585201821405
Library-3-Neg-2,-0.2629088775127226,0.7667611830815293,0.7028703043648931,0.8728185776900161,0.7335604695653232,0.7409493196737186,0.7425675426820637,-0.2647443244130156,0.5368366497884405,0.4983136962106754,0.7696387276165093,0.7808123030157439,1.0,0.9774886546320797,-0.3690472186329322,-0.39595963559227,-0.3723744468721148,-0.37330541998398065,-0.28839602596474273,0.5681190876295189,0.5357310411359548,-0.27596380793326025
Library-3-Neg-3,-0.36752625741835626,0.7650648649686657,0.7207146542021332,0.8344655780497829,0.7468881412267241,0.8088621157437889,0.7387814195989394,-0.3729536364636514,0.6056198270365417,0.598225059269623,0.8074113123262312,0.8062438039138071,0.9774886546320797,1.0,-0.44129471187790154,-0.45467548485357273,-0.4467835072584783,-0.47567661076696877,-0.40144445613434954,0.539615895182702,0.629530543953083,-0.3825621781001127
Library-1-Pos-1,0.9682704731822375,-0.353992882894733,-0.31298345270376304,-0.2895274549197867,-0.40350977396366966,-0.5839572041447738,-0.37646046663424004,0.9605457840791287,-0.02129181212060507,-0.13310047693115284,-0.3891775126023643,-0.4099388188473625,-0.3690472186329322,-0.44129471187790154,1.0,0.9938010171782266,0.9991151639059745,0.8662866113247183,0.9541406794194512,0.005529416653262872,-0.1538668384994074,0.9643646798867097
Library-1-Pos-2,0.9378654343928351,-0.4042631675599523,-0.3697921844117471,-0.33351043459510715,-0.46475815052988007,-0.6158299264444099,-0.440918664041984,0.92552532895004,-0.021304959448582437,-0.10964160701641998,-0.43399639109670923,-0.46359937237906734,-0.39595963559227,-0.45467548485357273,0.9938010171782266,1.0,0.9904400927627878,0.8327171572356061,0.9207797460100337,-0.06434160350377187,-0.13607358879313566,0.9312465678170058
Library-1-Pos-3,0.9701216299436318,-0.36548411411967285,-0.31880406771977127,-0.30182632437619655,-0.40675437482537113,-0.5881716803896598,-0.38061437662084396,0.9650767818747289,-0.01588398933717833,-0.132307393648537,-0.3953050487362414,-0.4119407670264252,-0.3723744468721148,-0.4467835072584783,0.9991151639059745,0.9904400927627878,1.0,0.8612337097361994,0.9592615285773085,0.0010826642649877088,-0.15354531723657644,0.9681353540448803
Library-2-Pos-2,0.9167264820110763,-0.14562666642224079,-0.10489893469625633,-0.100220048989409,-0.18559246236700958,-0.4863319699259161,-0.14124790558150455,0.9105037083661754,-0.3256142961257145,-0.4548952964866994,-0.24484926073547297,-0.25858073192589265,-0.37330541998398065,-0.47567661076696877,0.8662866113247183,0.8327171572356061,0.8612337097361994,1.0,0.9092479469040073,0.21968487135774648,-0.4495059095616265,0.9135184627534206
Library-2-Pos-3,0.9916892809023807,-0.26835453128277403,-0.23151238402498858,-0.20073444918502537,-0.29186900468003,-0.5135070743866913,-0.25430153934824834,0.9945332938615444,-0.1344808970909394,-0.29313307862590154,-0.32131766406106776,-0.3217434017498691,-0.28839602596474273,-0.40144445613434954,0.9541406794194512,0.9207797460100337,0.9592615285773085,0.9092479469040073,1.0,0.08775238348393587,-0.3031672878196025,0.994829142934921
Library-3-Pos-1,0.14098936600939282,0.8453598312733903,0.9291679646563864,0.8241000919723543,0.875904426289979,0.5955517146237853,0.8894522615775589,0.14723926321822683,0.3961111156248627,0.2826135821145524,0.8457041330372916,0.8576275753694805,0.5681190876295189,0.539615895182702,0.005529416653262872,-0.06434160350377187,0.0010826642649877088,0.21968487135774648,0.08775238348393587,1.0,0.34426129743465755,0.13413867053887346
